"STATISTIC","Statistic Label","TLIST(A1)","Year","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","01","Domestic","08","Other reasons","Thousand","814"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","-","All reasons for journey","Thousand","4974"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","01","Holiday","Thousand","3162"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","02","Business","Thousand","621"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","03","Visiting friends/relatives","Thousand","876"
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2003","2003","02","Outbound","08","Other reasons","Thousand","315"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","-","All reasons for journey","Thousand","7001"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","01","Holiday","Thousand","3142"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","02","Business","Thousand","624"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","03","Visiting friends/relatives","Thousand","2420"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","01","Domestic","08","Other reasons","Thousand","815"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","-","All reasons for journey","Thousand","5465"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","01","Holiday","Thousand","3472"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","02","Business","Thousand","684"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","03","Visiting friends/relatives","Thousand","985"
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2004","2004","02","Outbound","08","Other reasons","Thousand","325"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","-","All reasons for journey","Thousand","7173"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","01","Holiday","Thousand","3348"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","02","Business","Thousand","770"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","03","Visiting friends/relatives","Thousand","2298"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","01","Domestic","08","Other reasons","Thousand","757"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","-","All reasons for journey","Thousand","6189"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","01","Holiday","Thousand","3931"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","02","Business","Thousand","791"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","03","Visiting friends/relatives","Thousand","1118"
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2005","2005","02","Outbound","08","Other reasons","Thousand","351"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","-","All reasons for journey","Thousand","7310"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","01","Holiday","Thousand","3827"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","02","Business","Thousand","761"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","03","Visiting friends/relatives","Thousand","2254"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","01","Domestic","08","Other reasons","Thousand","468"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","-","All reasons for journey","Thousand","6981"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","01","Holiday","Thousand","4612"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","02","Business","Thousand","783"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","03","Visiting friends/relatives","Thousand","1317"
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2006","2006","02","Outbound","08","Other reasons","Thousand","268"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","-","All reasons for journey","Thousand","7942"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","01","Holiday","Thousand","4271"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","02","Business","Thousand","711"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","03","Visiting friends/relatives","Thousand","2420"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","01","Domestic","08","Other reasons","Thousand","541"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","-","All reasons for journey","Thousand","7830"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","01","Holiday","Thousand","5448"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","02","Business","Thousand","723"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","03","Visiting friends/relatives","Thousand","1356"
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2007","2007","02","Outbound","08","Other reasons","Thousand","303"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","-","All reasons for journey","Thousand","8339"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","01","Holiday","Thousand","4398"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","02","Business","Thousand","658"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","03","Visiting friends/relatives","Thousand","2656"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","01","Domestic","08","Other reasons","Thousand","627"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","-","All reasons for journey","Thousand","8042"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","01","Holiday","Thousand","5557"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","02","Business","Thousand","668"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","03","Visiting friends/relatives","Thousand","1455"
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","04","Education and training","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","07","Sporting events","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2008","2008","02","Outbound","08","Other reasons","Thousand","362"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","-","All reasons for journey","Thousand","8340"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","01","Holiday","Thousand","4037"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","02","Business","Thousand","600"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","03","Visiting friends/relatives","Thousand","2712"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","04","Education and training","Thousand","173"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","07","Sporting events","Thousand","282"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","01","Domestic","08","Other reasons","Thousand","535"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","-","All reasons for journey","Thousand","7292"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","01","Holiday","Thousand","4499"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","02","Business","Thousand","638"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","03","Visiting friends/relatives","Thousand","1523"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","04","Education and training","Thousand","137"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","06","Work/looking for work","Thousand",""
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","07","Sporting events","Thousand","275"
"HTA01C1","Number of Trips by Irish Residents","2009","2009","02","Outbound","08","Other reasons","Thousand","220"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","-","All reasons for journey","Thousand","7300"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","01","Holiday","Thousand","3978"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","02","Business","Thousand","370"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","03","Visiting friends/relatives","Thousand","1997"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","04","Education and training","Thousand","129"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","06","Work/looking for work","Thousand","113"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","07","Sporting events","Thousand","237"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","01","Domestic","08","Other reasons","Thousand","476"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","-","All reasons for journey","Thousand","6917"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","01","Holiday","Thousand","3964"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","02","Business","Thousand","621"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","03","Visiting friends/relatives","Thousand","1592"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","04","Education and training","Thousand","121"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","06","Work/looking for work","Thousand","98"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","07","Sporting events","Thousand","224"
"HTA01C1","Number of Trips by Irish Residents","2010","2010","02","Outbound","08","Other reasons","Thousand","297"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","-","All reasons for journey","Thousand","7169"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","01","Holiday","Thousand","3696"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","02","Business","Thousand","350"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","03","Visiting friends/relatives","Thousand","2231"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","04","Education and training","Thousand","83"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","06","Work/looking for work","Thousand","121"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","07","Sporting events","Thousand","238"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","01","Domestic","08","Other reasons","Thousand","449"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","-","All reasons for journey","Thousand","6514"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","01","Holiday","Thousand","3433"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","02","Business","Thousand","651"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","03","Visiting friends/relatives","Thousand","1662"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","04","Education and training","Thousand","90"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","06","Work/looking for work","Thousand","113"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","07","Sporting events","Thousand","252"
"HTA01C1","Number of Trips by Irish Residents","2011","2011","02","Outbound","08","Other reasons","Thousand","313"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","-","All reasons for journey","Thousand","8291"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","01","Holiday","Thousand","4036"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","02","Business","Thousand","350"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","03","Visiting friends/relatives","Thousand","2765"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","04","Education and training","Thousand","155"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","06","Work/looking for work","Thousand","130"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","07","Sporting events","Thousand","295"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","01","Domestic","08","Other reasons","Thousand","560"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","-","All reasons for journey","Thousand","6623"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","01","Holiday","Thousand","3817"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","02","Business","Thousand","584"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","03","Visiting friends/relatives","Thousand","1472"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","04","Education and training","Thousand","102"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","06","Work/looking for work","Thousand","120"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","07","Sporting events","Thousand","300"
"HTA01C1","Number of Trips by Irish Residents","2012","2012","02","Outbound","08","Other reasons","Thousand","227"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","-","All reasons for journey","Thousand","8413"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","01","Holiday","Thousand","4073"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","02","Business","Thousand","364"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","03","Visiting friends/relatives","Thousand","2988"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","04","Education and training","Thousand","142"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","06","Work/looking for work","Thousand","84"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","07","Sporting events","Thousand","269"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","01","Domestic","08","Other reasons","Thousand","493"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","-","All reasons for journey","Thousand","6575"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","01","Holiday","Thousand","3659"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","02","Business","Thousand","652"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","03","Visiting friends/relatives","Thousand","1624"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","04","Education and training","Thousand","85"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","06","Work/looking for work","Thousand","135"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","07","Sporting events","Thousand","222"
"HTA01C1","Number of Trips by Irish Residents","2013","2013","02","Outbound","08","Other reasons","Thousand","197"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","-","All reasons for journey","Thousand","8991"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","01","Holiday","Thousand","4436"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","02","Business","Thousand","453"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","03","Visiting friends/relatives","Thousand","2918"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","04","Education and training","Thousand","128"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","06","Work/looking for work","Thousand","101"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","07","Sporting events","Thousand","396"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","01","Domestic","08","Other reasons","Thousand","559"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","-","All reasons for journey","Thousand","6677"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","01","Holiday","Thousand","3675"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","02","Business","Thousand","729"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","03","Visiting friends/relatives","Thousand","1620"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","04","Education and training","Thousand","85"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","06","Work/looking for work","Thousand","115"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","07","Sporting events","Thousand","255"
"HTA01C1","Number of Trips by Irish Residents","2014","2014","02","Outbound","08","Other reasons","Thousand","198"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","-","All reasons for journey","Thousand","9125"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","01","Holiday","Thousand","4658"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","02","Business","Thousand","407"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","03","Visiting friends/relatives","Thousand","2921"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","04","Education and training","Thousand","167"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","06","Work/looking for work","Thousand","80"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","07","Sporting events","Thousand","331"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","01","Domestic","08","Other reasons","Thousand","559"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","-","All reasons for journey","Thousand","7094"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","01","Holiday","Thousand","4219"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","02","Business","Thousand","767"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","03","Visiting friends/relatives","Thousand","1430"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","04","Education and training","Thousand","88"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","06","Work/looking for work","Thousand","104"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","07","Sporting events","Thousand","291"
"HTA01C1","Number of Trips by Irish Residents","2015","2015","02","Outbound","08","Other reasons","Thousand","194"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","-","All reasons for journey","Thousand","9359"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","01","Holiday","Thousand","4870"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","02","Business","Thousand","431"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","03","Visiting friends/relatives","Thousand","3045"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","04","Education and training","Thousand","157"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","06","Work/looking for work","Thousand","84"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","07","Sporting events","Thousand","296"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","01","Domestic","08","Other reasons","Thousand","477"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","02","Outbound","-","All reasons for journey","Thousand","7644"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","02","Outbound","01","Holiday","Thousand","4244"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","02","Outbound","02","Business","Thousand","897"
"HTA01C1","Number of Trips by Irish Residents","2016","2016","02","Outbound","03","Visiting friends/relatives","Thousand","1747"
